"betas","result_polska","result_niemcy","result_usa"
0.1,10.4688145890526,12.2270333332378,13.7798538856225
0.11,10.6601774312348,12.3747188910959,13.0731450848687
0.12,10.2489869013153,12.3868636330763,13.7974013174211
0.13,10.2791321259884,12.129227231823,13.2236661929578
0.14,10.2536979505582,12.598839794065,13.0434563312421
0.15,10.4487212079903,12.3679204679272,13.253480737291
0.16,10.3247618707549,12.0793405966015,13.6965071561045
0.17,10.4550424732326,13.0164769978599,13.6669667878824
0.18,10.3628298583195,12.611381071652,13.0562710131607
0.19,10.2623667194986,12.0672403940186,13.252509142104
0.2,10.5265350401328,12.186182097664,13.7306903755024
0.21,10.2909143499035,12.3818122608369,13.1217933726359
0.22,10.5158442552634,12.1785838743161,14.2629959599927
0.23,10.7558626355692,12.3743286490027,12.5009302157688
0.24,10.4340805928908,12.468183500861,13.1757514655886
0.25,10.3077147859764,12.1191565960164,12.825090154854
0.26,10.6351991574329,12.3625000885343,12.8055442512529
0.27,10.6513812362015,12.5002340272571,13.3808166066397
0.28,10.5249654819504,12.8872207398766,13.7705509876377
0.29,10.6401140118064,12.9184086617597,14.0002407363743
0.3,10.2632854658953,12.226997592577,13.24883435723
0.31,10.992054622588,12.2363897103384,12.9843304132676
0.32,10.5805899829457,12.0882640616651,12.9388725181107
0.33,10.5496780293305,12.7939443216489,12.5727617567206
0.34,10.5662720915587,12.2251820675137,14.1074646983553
0.35,11.5033746632327,12.3598130221456,14.057838898482
0.36,11.2802065502511,12.2159274009684,13.8914057724892
0.37,10.749164776424,12.2381837356093,13.1088791751361
0.38,10.7496881071808,12.7900307629855,14.2762587825839
0.39,10.6924011243264,12.1475545117947,13.7639020759567
0.4,10.4800992927232,12.1114418419122,13.8395262758275
0.41,10.6913153663447,13.4506245310988,12.432811505656
0.42,10.3827488888139,13.3778284755565,13.68051828957
0.43,10.8486217524458,12.5546397840978,12.4332710222072
0.44,10.4215334605035,13.0116943201377,13.0117180209954
0.45,10.4345223221145,12.3581467490326,13.5265924014225
0.46,10.8266005976158,12.1940645635591,13.8243077478309
0.47,10.7033507501274,12.0658262119865,13.4517750819216
0.48,10.7788338545283,12.2859021941025,13.6127624942554
0.49,10.9263002255838,12.6152559621376,12.4249020524267
0.5,10.249289189271,12.2739720042549,14.2365226368024
0.51,10.4072757962305,12.1842604449581,13.0803526797279
0.52,10.3830098858183,12.1440551083348,13.679926761912
0.53,10.5157886262629,12.392932208259,13.3134315240745
0.54,10.9057590772466,12.3715505282113,13.2225318139433
0.55,10.2614395883039,12.1582546855118,13.6383374252361
0.56,10.8836458691805,12.6153563610247,14.0192752714512
0.57,10.8108936346955,12.4337880306774,13.3140931045729
0.58,10.2559534121222,12.1333386521159,12.6647792317749
0.59,10.2850479959244,13.0740048102506,13.3628512468179
0.6,10.8129050677885,12.2611748421592,13.5568188066788
0.61,10.5549161809432,12.7306615423514,14.0681534509864
0.62,11.1118471115532,12.4727745616136,13.9315641772455
0.63,10.810902267111,12.0505133771666,13.2023114629137
0.64,10.3379555325818,12.2049160460936,13.6435142974569
0.65,10.7973953298406,12.1261990872443,13.2627850825801
0.66,10.6296777287898,12.2264678538674,13.3510668268567
0.67,10.5504037787553,12.40984983971,13.0744359199947
0.68,10.2943093855993,12.2212413551042,13.0164192022995
0.69,11.214811832099,12.4339603102034,13.267557558123
0.7,10.3138899860675,12.2411732023442,13.8055477284648
0.71,10.3672592286852,12.8844196267709,13.127859361872
0.72,10.7803582710623,12.4289870095512,13.8240482462495
0.73,10.7646594440525,12.4071101817667,12.8855902414256
0.74,10.3309870747039,12.265329785288,12.9915503523233
0.75,10.3782745898704,12.3206324004512,13.9012111213633
0.76,10.5344310600336,13.3600590298243,13.1959427988738
0.77,10.6605695264927,12.4821018752815,12.5310854078953
0.78,10.3725508609129,12.2514716676197,13.3885442418875
0.79,10.3628086480994,12.3481373521739,14.116604545074
0.8,10.801843428179,12.1304287497992,14.096757658164
0.81,10.237149199423,12.1577979850195,13.3445716646985
0.82,10.6742637180561,12.402331196522,13.391899161373
0.83,10.614724980291,12.4861870171585,13.6770141326197
0.84,10.3098964850191,12.9565945173704,13.2859323092496
0.85,10.321564277397,12.3698807653744,13.6724312304144
0.86,10.2419169724846,12.1252678619838,12.7258404997844
0.87,10.3566184376208,12.5541007497639,13.2128344380492
0.88,10.3413898906557,13.1531730521413,13.9967127074281
0.89,10.2752253601386,12.1027256519221,13.7113872760411
0.9,10.6905082016494,12.1327763784743,13.8083831991996
0.91,10.6384316410648,12.1969425919687,13.5529420636389
0.92,11.0354326903976,12.2236855841896,13.5153569257216
0.93,10.6960535825607,12.0422822543688,13.1506945831596
0.94,10.3397761059075,12.286352066938,13.5763228953747
0.95,10.6022548765531,12.2780040095079,12.271239267815
0.96,10.3556851768153,12.2341205460626,13.0118495400124
0.97,10.3668526067491,12.5486182658439,12.816180985955
0.98,10.2896396921506,12.1476441220911,13.5982690522389
0.99,10.2881222845407,12.1253047239598,13.4997649832635
-1,10.2226683122454,12.0331005854408,12.1677814042916
