"Stan","Populacja"
"Alabama",4.599e+09
"Alaska",6.7e+08
"Arizona",6.166e+09
"Arkansas",2.811e+09
"Connecticut",3.505e+09
"Dakota Południowa",7.82e+08
"Dakota Północna",6.36e+08
"Delaware",8.53e+08
"Floryda",1.809e+10
"Georgia",9.364e+09
"Hawaje",1.285e+09
"Idaho",1.466e+09
"Illinois",1.2832e+10
"Indiana",6.314e+09
"Iowa",2.982e+09
"Kalifornia",3.6458e+10
"Kansas",2.764e+09
"Karolina Południowa",4.321e+09
"Karolina Północna",8.857e+09
"Kentucky",4.206e+09
"Kolorado",4.753e+09
"Luizjana",4.288e+09
"Maine",1.322e+09
"Maryland",5.616e+09
"Massachusetts",6.437e+09
"Michigan",1.0096e+10
"Minnesota",5.167e+09
"Missisipi",2.911e+09
"Missouri",5.843e+09
"Montana",9.45e+08
"Nebraska",1.768e+09
"Nevada",2.496e+09
"New Hampshire",1.315e+09
"New Jersey",8.725e+09
"Nowy Jork",1.9306e+10
"Nowy Meksyk",1.955e+09
"Ohio",1.1478e+10
"Oklahoma",3.579e+09
"Oregon",3.701e+09
"Pensylwania",1.244e+10
"Rhode Island",1.068e+09
"Teksas",2.3508e+10
"Tennessee",6.039e+09
"Utah",2.55e+09
"Vermont",6.24e+08
"Waszyngton",6.396e+09
"Wirginia",7.643e+09
"Wirginia Zachodnia",1.818e+09
"Wisconsin",5.557e+09
"Wyoming",5.15e+08
